run,src_port,sender_mbps,receiver_mbps
1,50000,300,276
1,50001,300,274
1,50002,300,277
2,50000,300,227
2,50001,300,227
2,50002,300,209
3,50000,300,145
3,50001,300,149
3,50002,300,92.9
4,50000,300,147
4,50001,300,147
4,50002,300,95.6
5,50000,300,147
5,50001,300,146
5,50002,300,95.1
6,50000,300,147
6,50001,300,147
6,50002,300,95.5
7,50000,300,145
7,50001,300,145
7,50002,300,93.3
8,50000,300,186
8,50001,300,186
8,50002,300,133
9,50000,300,284
9,50001,300,275
9,50002,300,268
10,50000,300,262
10,50001,300,280
10,50002,300,285
