run,src_port,sender_mbps,receiver_mbps
1,50000,300,295
1,50001,300,295
1,50002,300,295
2,50000,300,297
2,50001,300,290
2,50002,300,297
3,50000,300,295
3,50001,300,295
3,50002,300,295
4,50000,300,297
4,50001,300,290
4,50002,300,297
5,50000,300,295
5,50001,300,295
5,50002,300,295
6,50000,300,297
6,50001,300,291
6,50002,300,297
7,50000,300,296
7,50001,300,297
7,50002,300,291
8,50000,300,295
8,50001,300,295
8,50002,300,295
9,50000,300,299
9,50001,300,292
9,50002,300,293
10,50000,300,295
10,50001,300,295
10,50002,300,295
