run,src_port,sender_mbps,receiver_mbps
1,50000,300,300
1,50001,300,300
1,50002,300,300
2,50000,300,300
2,50001,299,299
2,50002,300,300
3,50000,300,300
3,50001,300,300
3,50002,300,299
4,50000,300,300
4,50001,300,300
4,50002,299,299
5,50000,300,300
5,50001,300,299
5,50002,300,300
6,50000,300,300
6,50001,300,300
6,50002,299,299
7,50000,300,300
7,50001,299,299
7,50002,300,300
8,50000,300,300
8,50001,300,300
8,50002,300,300
9,50000,300,300
9,50001,300,300
9,50002,300,300
10,50000,300,300
10,50001,299,299
10,50002,300,300
