run,src_port,sender_mbps,receiver_mbps
1,50000,300,198
1,50001,300,193
1,50002,300,192
2,50000,300,219
2,50001,300,224
2,50002,300,213
3,50000,300,175
3,50001,300,171
3,50002,300,161
4,50000,300,185
4,50001,300,179
4,50002,300,170
5,50000,300,177
5,50001,300,170
5,50002,300,169
6,50000,300,300
6,50001,300,300
6,50002,300,300
7,50000,300,214
7,50001,300,207
7,50002,300,213
8,50000,300,190
8,50001,300,190
8,50002,300,179
9,50000,300,176
9,50001,300,169
9,50002,300,169
10,50000,300,205
10,50001,300,204
10,50002,300,188
